#N               Difference/sum
0.00000000000000000000e+00 -inf
3.01029995663981198017e-01 -inf
6.02059991327962396035e-01 -6.94141870036603769734e+00
9.03089986991943538541e-01 -7.05688656486804344325e+00
1.20411998265592479207e+00 -7.15167028911885083176e+00
1.50514997831990604560e+00 -inf
1.80617997398388707708e+00 -6.99776467621403774899e+00
2.10720996964786833061e+00 -6.75565136509541286358e+00
2.40823996531184958414e+00 -7.10868961184739855952e+00
2.70926996097583083767e+00 -6.67807116849132587078e+00
3.01029995663981209120e+00 -6.05109436445428272577e+00
3.31132995230379334473e+00 -6.63349395700683253096e+00
3.61235994796777415416e+00 -6.36769106515384741840e+00
3.91338994363175540769e+00 -6.09924664769248803253e+00
4.21441993929573666122e+00 -6.18755029053013316798e+00
4.51544993495971791475e+00 -5.50467923760055732885e+00
4.81647993062369916828e+00 -4.86226874355569194108e+00
5.11750992628768042181e+00 -4.28140305337309889921e+00
5.41853992195166167534e+00 -3.70461134080611476094e+00
5.71956991761564292887e+00 -3.13638765542325304025e+00
6.02059991327962418239e+00 -2.59616461094525519115e+00
6.32162990894360543592e+00 -1.75116836597919944829e+00
6.62265990460758668945e+00 -1.56425531455874811115e+00
6.92368990027156705480e+00 -1.15749667365565933608e+00
7.22471989593554830833e+00 -9.50452422276307107296e-01
7.52574989159952956186e+00 -8.35991312836879441051e-01
7.82677988726351081539e+00 -7.01123766278231030924e-01
