r u(r)
0.1 0.063191
0.2 0.125798
0.3 0.187247
0.4 0.246977
0.5 0.304454
0.6 0.359174
0.7 0.410671
0.8 0.458523
0.9 0.50236
1 0.541864
1.1 0.576774
1.2 0.606893
1.3 0.632083
1.4 0.65227
1.5 0.667443
1.6 0.67765
1.7 0.683001
1.8 0.683659
1.9 0.679839
2 0.671803
2.1 0.659856
2.2 0.644337
2.3 0.625614
2.4 0.604079
2.5 0.580141
2.6 0.554215
2.7 0.526722
2.8 0.498078
2.9 0.468691
3 0.43895
3.1 0.409227
3.2 0.379867
3.3 0.351186
3.4 0.323467
3.5 0.296959
3.6 0.271871
3.7 0.248378
3.8 0.226613
3.9 0.206672
4 0.188613
4.1 0.172458
4.2 0.158194
4.3 0.14578
4.4 0.135143
4.5 0.126186
4.6 0.118791
4.7 0.112822
4.8 0.108129
4.9 0.104551
5 0.101921
5.1 0.100071
5.2 0.0988323
5.3 0.0980396
5.4 0.0975357
5.5 0.0971729
5.6 0.096815
5.7 0.0963399
5.8 0.0956405
5.9 0.0946262
6 0.0932232
6.1 0.0913754
6.2 0.0890437
6.3 0.0862059
6.4 0.0828561
6.5 0.0790036
6.6 0.0746718
6.7 0.0698965
6.8 0.0647247
6.9 0.0592126
7 0.0534241
7.1 0.0474289
7.2 0.0413006
7.3 0.0351151
7.4 0.0289489
7.5 0.0228774
7.6 0.0169736
7.7 0.0113065
7.8 0.00594028
7.9 0.000933085
8 -0.00366374
8.1 -0.0078063
8.2 -0.0114586
8.3 -0.0145928
8.4 -0.0171893
8.5 -0.019237
8.6 -0.0207325
8.7 -0.0216804
8.8 -0.0220923
8.9 -0.021987
9 -0.0213888
9.1 -0.020328
9.2 -0.0188392
9.3 -0.016961
9.4 -0.0147351
9.5 -0.0122056
9.6 -0.00941803
9.7 -0.0064188
9.8 -0.00325439
9.9 2.93004e-05
10 0.00338754
