r u(r)
0.1 0.0288948
0.2 0.0576933
0.3 0.0862999
0.4 0.11462
0.5 0.14256
0.6 0.17003
0.7 0.196941
0.8 0.223208
0.9 0.248748
1 0.273485
1.1 0.297344
1.2 0.320257
1.3 0.342159
1.4 0.362993
1.5 0.382706
1.6 0.401249
1.7 0.418583
1.8 0.43467
1.9 0.449484
2 0.463
2.1 0.475201
2.2 0.486078
2.3 0.495626
2.4 0.503846
2.5 0.510745
2.6 0.516336
2.7 0.520637
2.8 0.523672
2.9 0.525468
3 0.526059
3.1 0.525481
3.2 0.523776
3.3 0.520986
3.4 0.517161
3.5 0.512351
3.6 0.506607
3.7 0.499985
3.8 0.492542
3.9 0.484336
4 0.475424
4.1 0.465867
4.2 0.455723
4.3 0.445053
4.4 0.433916
4.5 0.422369
4.6 0.41047
4.7 0.398275
4.8 0.385838
4.9 0.373212
5 0.360449
5.1 0.347596
5.2 0.334701
5.3 0.321807
5.4 0.308957
5.5 0.296188
5.6 0.283538
5.7 0.27104
5.8 0.258726
5.9 0.246624
6 0.234759
6.1 0.223155
6.2 0.211832
6.3 0.200808
6.4 0.190099
6.5 0.179717
6.6 0.169673
6.7 0.159975
6.8 0.150631
6.9 0.141645
7 0.133019
7.1 0.124754
7.2 0.116849
7.3 0.109303
7.4 0.102111
7.5 0.095269
7.6 0.0887711
7.7 0.0826102
7.8 0.0767785
7.9 0.0712676
8 0.0660682
8.1 0.0611705
8.2 0.0565644
8.3 0.0522393
8.4 0.0481843
8.5 0.0443884
8.6 0.0408405
8.7 0.0375294
8.8 0.0344439
8.9 0.0315728
9 0.0289053
9.1 0.0264305
9.2 0.0241379
9.3 0.022017
9.4 0.0200579
9.5 0.0182507
9.6 0.0165861
9.7 0.0150549
9.8 0.0136485
9.9 0.0123584
10 0.0111767
