r u(r)
0.1 0.0864386
0.2 0.171552
0.3 0.254048
0.4 0.332698
0.5 0.406372
0.6 0.474058
0.7 0.534891
0.8 0.588171
0.9 0.633373
1 0.670162
1.1 0.69839
1.2 0.718095
1.3 0.729497
1.4 0.732978
1.5 0.729073
1.6 0.718442
1.7 0.70185
1.8 0.680142
1.9 0.654212
2 0.624978
2.1 0.593355
2.2 0.56023
2.3 0.526436
2.4 0.492739
2.5 0.459812
2.6 0.42823
2.7 0.398455
2.8 0.370836
2.9 0.345608
3 0.322892
3.1 0.302707
3.2 0.284974
3.3 0.269535
3.4 0.256163
3.5 0.244583
3.6 0.234481
3.7 0.225528
3.8 0.217392
3.9 0.209753
4 0.202319
4.1 0.194832
4.2 0.187082
4.3 0.178908
4.4 0.170204
4.5 0.160923
4.6 0.151066
4.7 0.14069
4.8 0.129892
4.9 0.118807
5 0.107598
5.1 0.0964468
5.2 0.0855434
5.3 0.0750778
5.4 0.0652304
5.5 0.0561636
5.6 0.048015
5.7 0.0408917
5.8 0.0348665
5.9 0.0299753
6 0.0262166
6.1 0.0235523
6.2 0.0219101
6.3 0.0211875
6.4 0.0212563
6.5 0.021969
6.6 0.0231645
6.7 0.0246751
6.8 0.0263329
6.9 0.0279767
7 0.0294573
7.1 0.030643
7.2 0.0314238
7.3 0.0317148
7.4 0.0314579
7.5 0.0306235
7.6 0.0292096
7.7 0.027241
7.8 0.024767
7.9 0.0218584
8 0.0186036
8.1 0.0151044
8.2 0.0114714
8.3 0.00781935
8.4 0.00426217
8.5 0.000908793
8.6 -0.00214107
8.7 -0.00480046
8.8 -0.00699808
8.9 -0.00868052
9 -0.00981369
9.1 -0.0103835
9.2 -0.0103958
9.3 -0.00987538
9.4 -0.00886473
9.5 -0.00742175
9.6 -0.00561729
9.7 -0.00353224
9.8 -0.00125433
9.9 0.00112507
10 0.00351427
