r u(r)
0.1 0.111473
0.2 0.220164
0.3 0.323418
0.4 0.418822
0.5 0.504312
0.6 0.578256
0.7 0.639513
0.8 0.687465
0.9 0.72202
1 0.743585
1.1 0.753016
1.2 0.751549
1.3 0.740703
1.4 0.722188
1.5 0.697796
1.6 0.669307
1.7 0.63839
1.8 0.606534
1.9 0.574981
2 0.544691
2.1 0.516327
2.2 0.490253
2.3 0.466565
2.4 0.445122
2.5 0.425606
2.6 0.407573
2.7 0.390519
2.8 0.373938
2.9 0.357371
3 0.340454
3.1 0.322942
3.2 0.304729
3.3 0.285848
3.4 0.266462
3.5 0.246839
3.6 0.227326
3.7 0.208311
3.8 0.190183
3.9 0.173304
4 0.157969
4.1 0.144387
4.2 0.132663
4.3 0.122795
4.4 0.114671
4.5 0.10809
4.6 0.102773
4.7 0.0983953
4.8 0.0946103
4.9 0.0910793
5 0.0874977
5.1 0.0836182
5.2 0.0792665
5.3 0.0743521
5.4 0.0688696
5.5 0.0628941
5.6 0.0565698
5.7 0.0500927
5.8 0.0436902
5.9 0.0375989
6 0.0320424
6.1 0.0272113
6.2 0.0232469
6.3 0.0202294
6.4 0.0181725
6.5 0.0170231
6.6 0.0166674
6.7 0.0169413
6.8 0.0176452
6.9 0.0185613
7 0.0194714
7.1 0.0201747
7.2 0.0205032
7.3 0.0203341
7.4 0.019598
7.5 0.0182823
7.6 0.01643
7.7 0.0141337
7.8 0.0115264
7.9 0.00876818
8 0.0060324
8.1 0.0034902
8.2 0.00129638
8.3 -0.000423177
8.4 -0.00158121
8.5 -0.00213536
8.6 -0.00209058
8.7 -0.0014976
8.8 -0.000447684
8.9 0.000935619
9 0.00250722
9.1 0.00411255
9.2 0.00560007
9.3 0.00683316
9.4 0.00770047
9.5 0.00812394
9.6 0.008064
9.7 0.00752153
9.8 0.00653663
9.9 0.00518431
10 0.0035676
