r u(r)
0.1 0.138318
0.2 0.270715
0.3 0.391823
0.4 0.497299
0.5 0.58418
0.6 0.651063
0.7 0.698099
0.8 0.726812
0.9 0.739773
1 0.740192
1.1 0.731476
1.2 0.716818
1.3 0.69888
1.4 0.679587
1.5 0.660065
1.6 0.6407
1.7 0.621304
1.8 0.601343
1.9 0.580181
2 0.557298
2.1 0.532453
2.2 0.505759
2.3 0.477683
2.4 0.448961
2.5 0.420469
2.6 0.39307
2.7 0.367473
2.8 0.344125
2.9 0.32316
3 0.304403
3.1 0.287436
3.2 0.271696
3.3 0.256595
3.4 0.241635
3.5 0.226493
3.6 0.211071
3.7 0.195497
3.8 0.180079
3.9 0.165237
4 0.151406
4.1 0.13895
4.2 0.12809
4.3 0.118863
4.4 0.111121
4.5 0.104561
4.6 0.0987814
4.7 0.0933599
4.8 0.0879242
4.9 0.0822146
5 0.076121
5.1 0.0696912
5.2 0.0631099
5.3 0.0566535
5.4 0.0506311
5.5 0.0453225
5.6 0.040924
5.7 0.0375129
5.8 0.0350353
5.9 0.0333173
6 0.0320985
6.1 0.0310793
6.2 0.0299726
6.3 0.0285522
6.4 0.0266875
6.5 0.0243606
6.6 0.021663
6.7 0.0187729
6.8 0.0159195
6.9 0.0133392
7 0.0112334
7.1 0.00973337
7.2 0.00887962
7.3 0.00861677
7.4 0.0088056
7.5 0.00924843
7.6 0.00972343
7.7 0.0100216
7.8 0.00997985
7.9 0.00950577
8 0.0085891
8.1 0.00729995
8.2 0.00577382
8.3 0.00418686
8.4 0.00272569
8.5 0.00155687
8.6 0.000800813
8.7 0.00051419
8.8 0.000682985
8.9 0.0012269
9 0.00201379
9.1 0.00288147
9.2 0.00366319
9.3 0.00421265
9.4 0.00442504
9.5 0.00425081
9.6 0.00370089
9.7 0.00284266
9.8 0.00178801
9.9 0.00067541
10 -0.000350901
