r u(r)
0.1 -0.116853
0.2 -0.230471
0.3 -0.337783
0.4 -0.436044
0.5 -0.522968
0.6 -0.596828
0.7 -0.656525
0.8 -0.701614
0.9 -0.732288
1 -0.749325
1.1 -0.753999
1.2 -0.747968
1.3 -0.733145
1.4 -0.711565
1.5 -0.685246
1.6 -0.656079
1.7 -0.625722
1.8 -0.595529
1.9 -0.56651
2 -0.539315
2.1 -0.51425
2.2 -0.491319
2.3 -0.470279
2.4 -0.450717
2.5 -0.432121
2.6 -0.41396
2.7 -0.395749
2.8 -0.377104
2.9 -0.357778
3 -0.337682
3.1 -0.316885
3.2 -0.2956
3.3 -0.274153
3.4 -0.252948
3.5 -0.232418
3.6 -0.212984
3.7 -0.195016
3.8 -0.178796
3.9 -0.164496
4 -0.15217
4.1 -0.141748
4.2 -0.133053
4.3 -0.125817
4.4 -0.119712
4.5 -0.114379
4.6 -0.10946
4.7 -0.104629
4.8 -0.0996154
4.9 -0.0942258
5 -0.0883515
5.1 -0.0819729
5.2 -0.0751537
5.3 -0.0680288
5.4 -0.0607867
5.5 -0.053648
5.6 -0.0468434
5.7 -0.0405911
5.8 -0.0350777
5.9 -0.0304424
6 -0.0267663
6.1 -0.0240674
6.2 -0.0223009
6.3 -0.0213648
6.4 -0.0211101
6.5 -0.021354
6.6 -0.0218949
6.7 -0.0225286
6.8 -0.023063
6.9 -0.0233317
7 -0.0232046
7.1 -0.022595
7.2 -0.0214634
7.3 -0.0198171
7.4 -0.0177069
7.5 -0.0152206
7.6 -0.0124743
7.7 -0.00960262
7.8 -0.00674774
7.9 -0.00404912
8 -0.00163387
8.1 0.000391266
8.2 0.00194603
8.3 0.0029806
8.4 0.00347728
8.5 0.00344994
8.6 0.00294157
8.7 0.00202014
8.8 0.00077327
8.9 -0.000697924
9 -0.0022853
9.1 -0.00388008
9.2 -0.00537874
9.3 -0.00668818
9.4 -0.00772986
9.5 -0.00844276
9.6 -0.00878522
9.7 -0.00873554
9.8 -0.00829148
9.9 -0.00746889
10 -0.00629946
