r u(r)
0.1 0.0931882
0.2 0.184735
0.3 0.273049
0.4 0.356632
0.5 0.434128
0.6 0.504353
0.7 0.566334
0.8 0.61933
0.9 0.662844
1 0.696633
1.1 0.720706
1.2 0.735307
1.3 0.740902
1.4 0.738151
1.5 0.727876
1.6 0.711027
1.7 0.68864
1.8 0.661804
1.9 0.631618
2 0.599156
2.1 0.565433
2.2 0.531379
2.3 0.497812
2.4 0.465426
2.5 0.434774
2.6 0.406267
2.7 0.380174
2.8 0.356628
2.9 0.335638
3 0.317106
3.1 0.300839
3.2 0.286576
3.3 0.274006
3.4 0.262787
3.5 0.252571
3.6 0.243016
3.7 0.233807
3.8 0.224667
3.9 0.215366
4 0.205731
4.1 0.195644
4.2 0.185047
4.3 0.173939
4.4 0.162368
4.5 0.150427
4.6 0.138246
4.7 0.12598
4.8 0.113802
4.9 0.101892
5 0.090429
5.1 0.0795826
5.2 0.0695048
5.3 0.060325
5.4 0.0521461
5.5 0.0450408
5.6 0.0390511
5.7 0.0341875
5.8 0.0304313
5.9 0.0277362
6 0.0260317
6.1 0.0252274
6.2 0.0252169
6.3 0.0258824
6.4 0.0270992
6.5 0.0287404
6.6 0.0306805
6.7 0.0327991
6.8 0.0349839
6.9 0.0371336
7 0.039159
7.1 0.0409849
7.2 0.0425505
7.3 0.0438095
7.4 0.0447298
7.5 0.0452928
7.6 0.0454921
7.7 0.0453326
7.8 0.0448284
7.9 0.0440017
8 0.0428811
8.1 0.0414996
8.2 0.0398935
8.3 0.0381007
8.4 0.0361599
8.5 0.0341087
8.6 0.0319836
8.7 0.0298183
8.8 0.0276441
8.9 0.0254887
9 0.0233765
9.1 0.0213281
9.2 0.0193605
9.3 0.0174872
9.4 0.0157185
9.5 0.0140615
9.6 0.0125204
9.7 0.0110971
9.8 0.00979134
9.9 0.00860096
10 0.00752239
